timestamp,sensor_id,tipo,valor,unidade,qos,latencia_ms,status,alerta
2026-08-18 20:13:59,sensor_press_04,pressao,111.73,PSI,1,0.5,ok,False
2026-08-18 20:14:01,sensor_press_04,pressao,126.19,PSI,1,0.96,ok,False
2026-08-18 20:14:03,sensor_press_04,pressao,135.56,PSI,1,0.9,ok,False
2026-08-18 20:14:05,sensor_press_04,pressao,140.48,PSI,1,0.95,ok,False
2026-08-18 20:14:07,sensor_press_04,pressao,140.33,PSI,1,0.48,ok,False
2026-08-18 20:14:09,sensor_press_04,pressao,137.55,PSI,1,0.95,ok,False
2026-08-18 20:14:11,sensor_press_04,pressao,131.33,PSI,1,0.91,ok,False
2026-08-18 20:14:13,sensor_press_04,pressao,124.15,PSI,1,0.49,ok,False
2026-08-18 20:14:15,sensor_press_04,pressao,112.2,PSI,1,0.82,ok,False
2026-08-18 20:14:17,sensor_press_04,pressao,100.17,PSI,1,0.49,ok,False
2026-08-18 20:14:19,sensor_press_04,pressao,84.35,PSI,1,1.04,ok,False
2026-08-18 20:14:21,sensor_press_04,pressao,72.25,PSI,1,0.63,ok,False
2026-08-18 20:14:23,sensor_press_04,pressao,65.72,PSI,1,0.36,ok,False
2026-08-18 20:14:25,sensor_press_04,pressao,59.9,PSI,1,0.75,ok,False
2026-08-18 20:14:27,sensor_press_04,pressao,62.7,PSI,1,0.73,ok,False
2026-08-18 20:14:29,sensor_press_04,pressao,62.6,PSI,1,0.91,ok,False
2026-08-18 20:14:31,sensor_press_04,pressao,67.91,PSI,1,0.86,ok,False
2026-08-18 20:14:33,sensor_press_04,pressao,81.24,PSI,1,0.78,ok,False
2026-08-18 20:14:35,sensor_press_04,pressao,89.75,PSI,1,0.87,ok,False
2026-08-18 20:14:37,sensor_press_04,pressao,101.73,PSI,1,0.6,ok,False
2026-08-18 20:14:39,sensor_press_04,pressao,113.18,PSI,1,1.16,ok,False
2026-08-18 20:14:41,sensor_press_04,pressao,124.07,PSI,1,0.89,ok,False
2026-08-18 20:14:43,sensor_press_04,pressao,135.83,PSI,1,0.76,ok,False
2026-08-18 20:14:45,sensor_press_04,pressao,140.22,PSI,1,0.69,ok,False
2026-08-18 20:14:47,sensor_press_04,pressao,142.46,PSI,1,0.92,ok,False
2026-08-18 20:14:49,sensor_press_04,pressao,136.99,PSI,1,0.89,ok,False
2026-08-18 20:14:51,sensor_press_04,pressao,128.92,PSI,1,0.63,ok,False
2026-08-18 20:14:53,sensor_press_04,pressao,122.02,PSI,1,0.7,ok,False
2026-08-18 20:14:55,sensor_press_04,pressao,112.69,PSI,1,0.84,ok,False
2026-08-18 20:14:57,sensor_press_04,pressao,94.72,PSI,1,0.75,ok,False
2026-08-18 20:14:59,sensor_press_04,pressao,83.2,PSI,1,1.0,ok,False
2026-08-20 20:43:56,sensor_press_04,pressao,111.96,PSI,1,0.96,ok,False
2026-08-20 20:43:58,sensor_press_04,pressao,123.37,PSI,1,1.02,ok,False
2026-08-20 20:44:00,sensor_press_04,pressao,136.37,PSI,1,1.05,ok,False
2026-08-20 20:44:02,sensor_press_04,pressao,137.75,PSI,1,0.58,ok,False
